"Date","Spot exchange rate, Chinese Yuan into Sterling                          XUDLBK89"
"01 Mar 19","8.8792"
"28 Feb 19","8.8993"
"27 Feb 19","8.9114"
"26 Feb 19","8.8682"
"25 Feb 19","8.7345"
"22 Feb 19","8.7635"
"21 Feb 19","8.7824"
"20 Feb 19","8.7707"
"19 Feb 19","8.8037"
"18 Feb 19","8.7464"
"15 Feb 19","8.6948"
"14 Feb 19","8.6541"
"13 Feb 19","8.7053"
"12 Feb 19","8.7251"
"11 Feb 19","8.7369"
"08 Feb 19","8.7263"
"07 Feb 19","8.7485"
"06 Feb 19","8.7404"
"05 Feb 19","8.7249"
"04 Feb 19","8.8227"
"01 Feb 19","8.8281"
"31 Jan 19","8.8063"
"30 Jan 19","8.7733"
"29 Jan 19","8.8498"
"28 Jan 19","8.872"
"25 Jan 19","8.8809"
"24 Jan 19","8.847"
"23 Jan 19","8.8721"
"22 Jan 19","8.8201"
"21 Jan 19","8.7596"
"18 Jan 19","8.7458"
"17 Jan 19","8.7439"
"16 Jan 19","8.6853"
"15 Jan 19","8.6589"
"14 Jan 19","8.7373"
"11 Jan 19","8.6645"
"10 Jan 19","8.6737"
"09 Jan 19","8.6801"
"08 Jan 19","8.7232"
"07 Jan 19","8.7489"
"04 Jan 19","8.7367"
"03 Jan 19","8.6579"
"02 Jan 19","8.6487"
"31 Dec 18","8.7793"
"28 Dec 18","8.7236"
"27 Dec 18","8.6752"
"24 Dec 18","8.7262"
"21 Dec 18","8.7525"
"20 Dec 18","8.6979"
"19 Dec 18","8.7133"
"18 Dec 18","8.7084"
"17 Dec 18","8.6961"
"14 Dec 18","8.6734"
"13 Dec 18","8.6796"
"12 Dec 18","8.708"
"11 Dec 18","8.6396"
"10 Dec 18","8.6595"
"07 Dec 18","8.7696"
"06 Dec 18","8.7948"
"05 Dec 18","8.7314"
"04 Dec 18","8.698"
"03 Dec 18","8.7628"
"30 Nov 18","8.8756"
"29 Nov 18","8.8704"
"28 Nov 18","8.8677"
"27 Nov 18","8.8534"
"26 Nov 18","8.9009"
"23 Nov 18","8.8944"
"22 Nov 18","8.9186"
"21 Nov 18","8.8527"
"20 Nov 18","8.9053"
"19 Nov 18","8.9274"
"16 Nov 18","8.9067"
"15 Nov 18","8.8682"
"14 Nov 18","9.0378"
"13 Nov 18","9.0389"
"12 Nov 18","8.9571"
"09 Nov 18","9.0621"
"08 Nov 18","9.1001"
"07 Nov 18","9.086"
"06 Nov 18","9.0477"
"05 Nov 18","9.0148"
"02 Nov 18","8.9321"
"01 Nov 18","8.9787"
"31 Oct 18","8.9117"
"30 Oct 18","8.8688"
"29 Oct 18","8.9136"
"26 Oct 18","8.9033"
"25 Oct 18","8.9035"
"24 Oct 18","8.9621"
"23 Oct 18","9.0008"
"22 Oct 18","9.0099"
"19 Oct 18","9.0387"
"18 Oct 18","9.0696"
"17 Oct 18","9.0972"
"16 Oct 18","9.1277"
"15 Oct 18","9.0917"
"12 Oct 18","9.103"
"11 Oct 18","9.099"
"10 Oct 18","9.1395"
"09 Oct 18","9.0598"
"08 Oct 18","9.0535"
"05 Oct 18","8.9772"
"04 Oct 18","8.9466"
"03 Oct 18","8.9318"
"02 Oct 18","8.9133"
"01 Oct 18","8.9579"
"28 Sep 18","8.9553"
"27 Sep 18","9.0323"
"26 Sep 18","9.068"
"25 Sep 18","9.0353"
"24 Sep 18","9.008"
"21 Sep 18","8.9783"
"20 Sep 18","9.0744"
"19 Sep 18","9.0085"
"18 Sep 18","9.0231"
"17 Sep 18","9.0124"
"14 Sep 18","8.9689"
"13 Sep 18","8.9591"
"12 Sep 18","8.9329"
"11 Sep 18","8.9308"
"10 Sep 18","8.925"
"07 Sep 18","8.8596"
"06 Sep 18","8.8385"
"05 Sep 18","8.8451"
"04 Sep 18","8.7786"
"03 Sep 18","8.7876"
"31 Aug 18","8.8714"
"30 Aug 18","8.8836"
"29 Aug 18","8.864"
"28 Aug 18","8.7614"
"24 Aug 18","8.764"
"23 Aug 18","8.8238"
"22 Aug 18","8.8308"
"21 Aug 18","8.8087"
"20 Aug 18","8.7458"
"17 Aug 18","8.7582"
"16 Aug 18","8.7531"
"15 Aug 18","8.7834"
"14 Aug 18","8.7727"
"13 Aug 18","8.7944"
"10 Aug 18","8.735"
"09 Aug 18","8.7731"
"08 Aug 18","8.8012"
"07 Aug 18","8.845"
"06 Aug 18","8.8639"
"03 Aug 18","8.8931"
"02 Aug 18","8.9119"
"01 Aug 18","8.9381"
"31 Jul 18","8.9332"
"30 Jul 18","8.952"
"27 Jul 18","8.9395"
"26 Jul 18","8.9217"
"25 Jul 18","8.9094"
"24 Jul 18","8.9345"
"23 Jul 18","8.9074"
"20 Jul 18","8.8686"
"19 Jul 18","8.8001"
"18 Jul 18","8.7652"
"17 Jul 18","8.8202"
"16 Jul 18","8.8435"
"13 Jul 18","8.8352"
"12 Jul 18","8.8145"
"11 Jul 18","8.8397"
"10 Jul 18","8.795"
"09 Jul 18","8.7704"
"06 Jul 18","8.8133"
"05 Jul 18","8.7762"
"04 Jul 18","8.7536"
"03 Jul 18","8.7479"
"02 Jul 18","8.7448"
"29 Jun 18","8.7305"
"28 Jun 18","8.6728"
"27 Jun 18","8.6747"
"26 Jun 18","8.7049"
"25 Jun 18","8.6726"
"22 Jun 18","8.6292"
"21 Jun 18","8.6038"
"20 Jun 18","8.5266"
"19 Jun 18","8.5364"
"18 Jun 18","8.5244"
"15 Jun 18","8.5534"
"14 Jun 18","8.5298"
"13 Jun 18","8.5515"
"12 Jun 18","8.5442"
"11 Jun 18","8.5718"
"08 Jun 18","8.5779"
"07 Jun 18","8.5743"
"06 Jun 18","8.5738"
"05 Jun 18","8.544"
"04 Jun 18","8.5391"
"01 Jun 18","8.5574"
"31 May 18","8.5271"
"30 May 18","8.5212"
"29 May 18","8.5137"
"25 May 18","8.5093"
"24 May 18","8.5265"
"23 May 18","8.5222"
"22 May 18","8.5445"
"21 May 18","8.5576"
"18 May 18","8.5927"
"17 May 18","8.5964"
"16 May 18","8.5891"
"15 May 18","8.6044"
"14 May 18","8.6129"
"11 May 18","8.5816"
"10 May 18","8.5447"
"09 May 18","8.6308"
"08 May 18","8.6076"
"04 May 18","8.5917"
"03 May 18","8.6044"
"02 May 18","8.6524"
"01 May 18","8.6097"
"30 Apr 18","8.7237"
"27 Apr 18","8.7311"
"26 Apr 18","8.8208"
"25 Apr 18","8.8135"
"24 Apr 18","8.8018"
"23 Apr 18","8.8091"
"20 Apr 18","8.828"
"19 Apr 18","8.9221"
"18 Apr 18","8.9302"
"17 Apr 18","8.9914"
"16 Apr 18","8.9911"
"13 Apr 18","8.9364"
"12 Apr 18","8.9512"
"11 Apr 18","8.9071"
"10 Apr 18","8.8997"
"09 Apr 18","8.9062"
"06 Apr 18","8.8786"
"05 Apr 18","8.8257"
"04 Apr 18","8.8747"
"03 Apr 18","8.8272"
"29 Mar 18","8.8225"
"28 Mar 18","8.8762"
"27 Mar 18","8.881"
"26 Mar 18","8.9232"
"23 Mar 18","8.9301"
"22 Mar 18","8.9261"
"21 Mar 18","8.8872"
"20 Mar 18","8.8729"
"19 Mar 18","8.8791"
"16 Mar 18","8.8101"
"15 Mar 18","8.8148"
"14 Mar 18","8.8049"
"13 Mar 18","8.837"
"12 Mar 18","8.7933"
"09 Mar 18","8.7764"
"08 Mar 18","8.7667"
"07 Mar 18","8.7857"
"06 Mar 18","8.7592"
"05 Mar 18","8.7922"
"02 Mar 18","8.7334"
"01 Mar 18","8.7268"
