"Date","Spot exchange rate, Euro into Sterling                          XUDLERS"
"01 Mar 19","1.163"
"28 Feb 19","1.168"
"27 Feb 19","1.1718"
"26 Feb 19","1.1655"
"25 Feb 19","1.1516"
"22 Feb 19","1.1514"
"21 Feb 19","1.1518"
"20 Feb 19","1.151"
"19 Feb 19","1.1497"
"18 Feb 19","1.1434"
"15 Feb 19","1.1406"
"14 Feb 19","1.1332"
"13 Feb 19","1.1411"
"12 Feb 19","1.1402"
"11 Feb 19","1.1409"
"08 Feb 19","1.1427"
"07 Feb 19","1.1427"
"06 Feb 19","1.1394"
"05 Feb 19","1.1343"
"04 Feb 19","1.1449"
"01 Feb 19","1.1417"
"31 Jan 19","1.146"
"30 Jan 19","1.1441"
"29 Jan 19","1.1519"
"28 Jan 19","1.1504"
"25 Jan 19","1.1552"
"24 Jan 19","1.1489"
"23 Jan 19","1.1482"
"22 Jan 19","1.1409"
"21 Jan 19","1.1345"
"18 Jan 19","1.1355"
"17 Jan 19","1.1343"
"16 Jan 19","1.1287"
"15 Jan 19","1.1199"
"14 Jan 19","1.126"
"11 Jan 19","1.1168"
"10 Jan 19","1.1091"
"09 Jan 19","1.1071"
"08 Jan 19","1.1126"
"07 Jan 19","1.114"
"04 Jan 19","1.1152"
"03 Jan 19","1.106"
"02 Jan 19","1.1104"
"31 Dec 18","1.1149"
"28 Dec 18","1.1094"
"27 Dec 18","1.1084"
"24 Dec 18","1.1099"
"21 Dec 18","1.1112"
"20 Dec 18","1.1068"
"19 Dec 18","1.107"
"18 Dec 18","1.1116"
"17 Dec 18","1.1124"
"14 Dec 18","1.1117"
"13 Dec 18","1.1116"
"12 Dec 18","1.1137"
"11 Dec 18","1.1064"
"10 Dec 18","1.1023"
"07 Dec 18","1.1201"
"06 Dec 18","1.1225"
"05 Dec 18","1.1231"
"04 Dec 18","1.1211"
"03 Dec 18","1.1224"
"30 Nov 18","1.1266"
"29 Nov 18","1.1221"
"28 Nov 18","1.131"
"27 Nov 18","1.1281"
"26 Nov 18","1.131"
"23 Nov 18","1.1285"
"22 Nov 18","1.1283"
"21 Nov 18","1.1218"
"20 Nov 18","1.1238"
"19 Nov 18","1.1234"
"16 Nov 18","1.1268"
"15 Nov 18","1.1294"
"14 Nov 18","1.15"
"13 Nov 18","1.1523"
"12 Nov 18","1.1435"
"09 Nov 18","1.1476"
"08 Nov 18","1.149"
"07 Nov 18","1.1452"
"06 Nov 18","1.1457"
"05 Nov 18","1.1419"
"02 Nov 18","1.1396"
"01 Nov 18","1.1384"
"31 Oct 18","1.1277"
"30 Oct 18","1.1203"
"29 Oct 18","1.1243"
"26 Oct 18","1.1276"
"25 Oct 18","1.1261"
"24 Oct 18","1.1329"
"23 Oct 18","1.1324"
"22 Oct 18","1.1311"
"19 Oct 18","1.1346"
"18 Oct 18","1.1377"
"17 Oct 18","1.1392"
"16 Oct 18","1.1408"
"15 Oct 18","1.1344"
"12 Oct 18","1.1385"
"11 Oct 18","1.1429"
"10 Oct 18","1.1443"
"09 Oct 18","1.1413"
"08 Oct 18","1.1392"
"05 Oct 18","1.1358"
"04 Oct 18","1.1306"
"03 Oct 18","1.1271"
"02 Oct 18","1.1232"
"01 Oct 18","1.126"
"28 Sep 18","1.1228"
"27 Sep 18","1.1233"
"26 Sep 18","1.1222"
"25 Sep 18","1.1168"
"24 Sep 18","1.1145"
"21 Sep 18","1.114"
"20 Sep 18","1.1278"
"19 Sep 18","1.1272"
"18 Sep 18","1.1244"
"17 Sep 18","1.1249"
