Date,Spot exchange rate       
"01 Mar 19","1.3243"
"28 Feb 19","1.33"
"27 Feb 19","1.3336"
"26 Feb 19","1.324"
"25 Feb 19","1.3067"
"22 Feb 19","1.3058"
"21 Feb 19","1.307"
"20 Feb 19","1.3061"
"19 Feb 19","1.3031"
"18 Feb 19","1.2928"
"15 Feb 19","1.2847"
"14 Feb 19","1.2781"
"13 Feb 19","1.2878"
"12 Feb 19","1.2883"
"11 Feb 19","1.2866"
"08 Feb 19","1.2942"
"07 Feb 19","1.2975"
"06 Feb 19","1.2963"
"05 Feb 19","1.294"
"04 Feb 19","1.3085"
"01 Feb 19","1.3093"
"31 Jan 19","1.3152"
"30 Jan 19","1.3072"
"29 Jan 19","1.3149"
"28 Jan 19","1.3156"
"25 Jan 19","1.3167"
"24 Jan 19","1.3042"
"23 Jan 19","1.3067"
"22 Jan 19","1.2957"
"21 Jan 19","1.2895"
"18 Jan 19","1.2906"
"17 Jan 19","1.2909"
"16 Jan 19","1.2861"
"15 Jan 19","1.281"
"14 Jan 19","1.2912"
"11 Jan 19","1.2818"
"10 Jan 19","1.2779"
"09 Jan 19","1.2743"
"08 Jan 19","1.2731"
"07 Jan 19","1.2772"
"04 Jan 19","1.2724"
"03 Jan 19","1.2601"
"02 Jan 19","1.2608"
"31 Dec 18","1.2769"
"28 Dec 18","1.2688"
"27 Dec 18","1.2637"
"24 Dec 18","1.2649"
"21 Dec 18","1.2676"
"20 Dec 18","1.2636"
"19 Dec 18","1.2643"
"18 Dec 18","1.2632"
"17 Dec 18","1.261"
"14 Dec 18","1.2561"
"13 Dec 18","1.2616"
"12 Dec 18","1.2661"
"11 Dec 18","1.2527"
"10 Dec 18","1.2536"
"07 Dec 18","1.2759"
"06 Dec 18","1.2778"
"05 Dec 18","1.2738"
"04 Dec 18","1.2727"
"03 Dec 18","1.2737"
"30 Nov 18","1.276"
"29 Nov 18","1.2778"
"28 Nov 18","1.2753"
"27 Nov 18","1.2739"
"26 Nov 18","1.2826"
"23 Nov 18","1.2802"
"22 Nov 18","1.2869"
"21 Nov 18","1.2784"
"20 Nov 18","1.2823"
"19 Nov 18","1.2864"
"16 Nov 18","1.284"
"15 Nov 18","1.2782"
"14 Nov 18","1.3004"
"13 Nov 18","1.2997"
"12 Nov 18","1.2866"
"09 Nov 18","1.3029"
"08 Nov 18","1.3128"
"07 Nov 18","1.3135"
"06 Nov 18","1.308"
"05 Nov 18","1.3018"
"02 Nov 18","1.2965"
"01 Nov 18","1.2974"
"31 Oct 18","1.2779"
"30 Oct 18","1.2731"
"29 Oct 18","1.2806"
"26 Oct 18","1.2821"
"25 Oct 18","1.2815"
"24 Oct 18","1.291"
"23 Oct 18","1.2975"
"22 Oct 18","1.2974"
"19 Oct 18","1.3046"
"18 Oct 18","1.3071"
"17 Oct 18","1.3135"
"16 Oct 18","1.321"
"15 Oct 18","1.3144"
"12 Oct 18","1.3158"
"11 Oct 18","1.321"
"10 Oct 18","1.32"
"09 Oct 18","1.3089"
"08 Oct 18","1.3071"
"05 Oct 18","1.3071"
"04 Oct 18","1.3027"
"03 Oct 18","1.3005"
"02 Oct 18","1.2978"
"01 Oct 18","1.3043"
"28 Sep 18","1.3041"
"27 Sep 18","1.3116"
"26 Sep 18","1.3185"
"25 Sep 18","1.3163"
"24 Sep 18","1.3139"
"21 Sep 18","1.3099"
"20 Sep 18","1.3256"
"19 Sep 18","1.3152"
"18 Sep 18","1.3155"
"17 Sep 18","1.3151"
"14 Sep 18","1.3074"
"13 Sep 18","1.3093"
"12 Sep 18","1.3021"
"11 Sep 18","1.2999"
"10 Sep 18","1.3019"
"07 Sep 18","1.2951"
"06 Sep 18","1.2947"
"05 Sep 18","1.2958"
"04 Sep 18","1.2832"
"03 Sep 18","1.2885"
"31 Aug 18","1.2994"
"30 Aug 18","1.3004"
"29 Aug 18","1.2999"
"28 Aug 18","1.2884"
"24 Aug 18","1.2858"
"23 Aug 18","1.2835"
"22 Aug 18","1.291"
"21 Aug 18","1.2868"
"20 Aug 18","1.2759"
"17 Aug 18","1.2741"
"16 Aug 18","1.2724"
"15 Aug 18","1.2669"
"14 Aug 18","1.2753"
"13 Aug 18","1.2777"
"10 Aug 18","1.2776"
"09 Aug 18","1.2869"
"08 Aug 18","1.2882"
"07 Aug 18","1.2954"
"06 Aug 18","1.294"
"03 Aug 18","1.3019"
"02 Aug 18","1.3032"
"01 Aug 18","1.3122"
"31 Jul 18","1.3117"
"30 Jul 18","1.3145"
"27 Jul 18","1.3128"
"26 Jul 18","1.315"
"25 Jul 18","1.3149"
"24 Jul 18","1.3156"
"23 Jul 18","1.3113"
"20 Jul 18","1.3102"
"19 Jul 18","1.3004"
"18 Jul 18","1.305"
"17 Jul 18","1.3161"
"16 Jul 18","1.3231"
"13 Jul 18","1.3201"
"12 Jul 18","1.3223"
"11 Jul 18","1.3248"
"10 Jul 18","1.3265"
"09 Jul 18","1.326"
"06 Jul 18","1.3277"
"05 Jul 18","1.3223"
"04 Jul 18","1.3208"
"03 Jul 18","1.3176"
"02 Jul 18","1.3124"
"29 Jun 18","1.3203"
"28 Jun 18","1.3098"
"27 Jun 18","1.3147"
"26 Jun 18","1.3233"
"25 Jun 18","1.3269"
"22 Jun 18","1.3272"
"21 Jun 18","1.3257"
"20 Jun 18","1.3176"
"19 Jun 18","1.3173"
"18 Jun 18","1.3241"
"15 Jun 18","1.3286"
"14 Jun 18","1.3333"
"13 Jun 18","1.3367"
"12 Jun 18","1.3352"
"11 Jun 18","1.3394"
"08 Jun 18","1.3395"
"07 Jun 18","1.342"
"06 Jun 18","1.3428"
"05 Jun 18","1.3341"
"04 Jun 18","1.3332"
"01 Jun 18","1.3331"
"31 May 18","1.3308"
"30 May 18","1.3275"
"29 May 18","1.3269"
"25 May 18","1.3316"
"24 May 18","1.3374"
"23 May 18","1.3341"
"22 May 18","1.3421"
"21 May 18","1.341"
"18 May 18","1.3475"
"17 May 18","1.3504"
"16 May 18","1.3483"
"15 May 18","1.3495"
"14 May 18","1.3593"
"11 May 18","1.3553"
"10 May 18","1.3467"
"09 May 18","1.3577"
"08 May 18","1.3518"
"04 May 18","1.3517"
"03 May 18","1.3546"
"02 May 18","1.3599"
"01 May 18","1.3596"
"30 Apr 18","1.3776"
"27 Apr 18","1.3795"
"26 Apr 18","1.3936"
"25 Apr 18","1.3935"
"24 Apr 18","1.3964"
"23 Apr 18","1.395"
"20 Apr 18","1.4025"
"19 Apr 18","1.4221"
"18 Apr 18","1.4235"
"17 Apr 18","1.431"
"16 Apr 18","1.4328"
"13 Apr 18","1.4247"
"12 Apr 18","1.4232"
"11 Apr 18","1.4207"
"10 Apr 18","1.4173"
"09 Apr 18","1.4129"
"06 Apr 18","1.4083"
"05 Apr 18","1.3999"
"04 Apr 18","1.4085"
"03 Apr 18","1.4038"
"29 Mar 18","1.4033"
"28 Mar 18","1.4098"
"27 Mar 18","1.4144"
"26 Mar 18","1.4223"
"23 Mar 18","1.415"
"22 Mar 18","1.4099"
"21 Mar 18","1.4062"
"20 Mar 18","1.4011"
"19 Mar 18","1.4029"
"16 Mar 18","1.3918"
"15 Mar 18","1.3947"
"14 Mar 18","1.3945"
"13 Mar 18","1.3987"
"12 Mar 18","1.3898"
"09 Mar 18","1.3868"
"08 Mar 18","1.383"
"07 Mar 18","1.3896"
"06 Mar 18","1.3883"
"05 Mar 18","1.3848"
"02 Mar 18","1.3769"
"01 Mar 18","1.3725"

